operating_date,target_time_utc,target_time_local,local_utc_offset,actual_load_mw,actual_load_available,pjm_forecast_mw,pjm_forecast_available,pjm_missing_reason,forecast_origin_utc,selected_evaluated_at_utc,selected_vintage_id,event_id,inside_registered_event,expected_hours_for_day,pjm_available_hours_for_day
2014-01-08,2014-01-08 16:00:00+00:00,2014-01-08 11:00:00-05:00,-5.0,122182.555,True,120968.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 17:00:00+00:00,2014-01-08 12:00:00-05:00,-5.0,119198.671,True,118150.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 18:00:00+00:00,2014-01-08 13:00:00-05:00,-5.0,117091.637,True,116326.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 19:00:00+00:00,2014-01-08 14:00:00-05:00,-5.0,115161.28,True,114838.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 20:00:00+00:00,2014-01-08 15:00:00-05:00,-5.0,114694.139,True,113594.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 21:00:00+00:00,2014-01-08 16:00:00-05:00,-5.0,117241.595,True,115976.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 22:00:00+00:00,2014-01-08 17:00:00-05:00,-5.0,123774.213,True,123135.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 23:00:00+00:00,2014-01-08 18:00:00-05:00,-5.0,126135.807,True,126781.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-09 00:00:00+00:00,2014-01-08 19:00:00-05:00,-5.0,125489.604,True,127001.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-09 01:00:00+00:00,2014-01-08 20:00:00-05:00,-5.0,123754.716,True,125250.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-09 02:00:00+00:00,2014-01-08 21:00:00-05:00,-5.0,119471.048,True,,False,NO_COMPLETE_VINTAGE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-09 03:00:00+00:00,2014-01-08 22:00:00-05:00,-5.0,112984.259,True,,False,NO_COMPLETE_VINTAGE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-09 04:00:00+00:00,2014-01-08 23:00:00-05:00,-5.0,106674.756,True,,False,NO_COMPLETE_VINTAGE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
