operating_date,year,expected_target_hours,panel_rows,actual_available_hours,pjm_available_hours,forecast_origin_utc,selected_evaluated_at_utc,selected_vintage_id,number_of_candidate_vintages,latest_candidate_complete,older_vintage_fallback_used,distinct_selected_evaluated_at_count,partial_day_detected,mixed_vintage_detected,evaluation_after_origin_detected,missing_reason,status
2010-04-14,2010,24,24,24,0,2010-04-13 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-15,2010,24,24,24,0,2010-04-14 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-16,2010,24,24,24,0,2010-04-15 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-17,2010,24,24,24,0,2010-04-16 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-18,2010,24,24,24,0,2010-04-17 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-19,2010,24,24,24,0,2010-04-18 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-20,2010,24,24,24,0,2010-04-19 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-21,2010,24,24,24,0,2010-04-20 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-22,2010,24,24,24,0,2010-04-21 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-23,2010,24,24,24,0,2010-04-22 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-24,2010,24,24,24,0,2010-04-23 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-25,2010,24,24,24,0,2010-04-24 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-26,2010,24,24,24,0,2010-04-25 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-27,2010,24,24,24,0,2010-04-26 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-28,2010,24,24,24,0,2010-04-27 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-29,2010,24,24,24,0,2010-04-28 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-30,2010,24,24,24,0,2010-04-29 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-01,2010,24,24,24,0,2010-04-30 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-02,2010,24,24,24,0,2010-05-01 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-03,2010,24,24,24,0,2010-05-02 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-04,2010,24,24,24,0,2010-05-03 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-05,2010,24,24,24,0,2010-05-04 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-06,2010,24,24,24,0,2010-05-05 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-07,2010,24,24,24,0,2010-05-06 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-08,2010,24,24,24,0,2010-05-07 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-05-09,2010,24,24,24,0,2010-05-08 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
