operating_day_pjm,initialization_utc,initialization_date,cycle_hour_utc
2014-12-12,2014-12-11 06:00:00+00:00,2014-12-11,6
2014-12-13,2014-12-12 06:00:00+00:00,2014-12-12,6
2014-12-14,2014-12-13 06:00:00+00:00,2014-12-13,6
2014-12-15,2014-12-14 06:00:00+00:00,2014-12-14,6
2014-12-16,2014-12-15 06:00:00+00:00,2014-12-15,6
2014-12-17,2014-12-16 06:00:00+00:00,2014-12-16,6
2014-12-18,2014-12-17 06:00:00+00:00,2014-12-17,6
2014-12-19,2014-12-18 06:00:00+00:00,2014-12-18,6
2014-12-20,2014-12-19 06:00:00+00:00,2014-12-19,6
2014-12-21,2014-12-20 06:00:00+00:00,2014-12-20,6
2014-12-22,2014-12-21 06:00:00+00:00,2014-12-21,6
2014-12-23,2014-12-22 06:00:00+00:00,2014-12-22,6
2014-12-24,2014-12-23 06:00:00+00:00,2014-12-23,6
2014-12-25,2014-12-24 06:00:00+00:00,2014-12-24,6
2014-12-26,2014-12-25 06:00:00+00:00,2014-12-25,6
2014-12-27,2014-12-26 06:00:00+00:00,2014-12-26,6
2014-12-28,2014-12-27 06:00:00+00:00,2014-12-27,6
2014-12-29,2014-12-28 06:00:00+00:00,2014-12-28,6
2014-12-30,2014-12-29 06:00:00+00:00,2014-12-29,6
2014-12-31,2014-12-30 06:00:00+00:00,2014-12-30,6
